threshold,precision,recall,f1,number_targeted,true_positives,false_positives,expected_revenue_saved,intervention_cost,contact_cost,net_benefit
0.05,0.2658137882018479,1.0,0.41998877035373383,1407,374,1033,94248.0,16884.0,2814.0,74550.0
0.06,0.2658137882018479,1.0,0.41998877035373383,1407,374,1033,94248.0,16884.0,2814.0,74550.0
0.07,0.3378995433789954,0.9893048128342246,0.5037440435670524,1095,370,725,93240.0,13140.0,2190.0,77910.0
0.08,0.36482412060301506,0.9705882352941176,0.5303140978816655,995,363,632,91476.0,11940.0,1990.0,77546.0
0.09,0.38636363636363635,0.9545454545454546,0.5500770416024653,924,357,567,89964.0,11088.0,1848.0,77028.0
0.09999999999999999,0.40877598152424943,0.946524064171123,0.5709677419354838,866,354,512,89208.0,10392.0,1732.0,77084.0
0.10999999999999999,0.4213759213759214,0.9171122994652406,0.5774410774410774,814,343,471,86436.0,9768.0,1628.0,75040.0
0.12,0.4327784891165173,0.9037433155080213,0.5852813852813853,781,338,443,85176.0,9372.0,1562.0,74242.0
0.13,0.44563758389261743,0.8877005347593583,0.5933869526362824,745,332,413,83664.0,8940.0,1490.0,73234.0
0.13999999999999999,0.45518207282913165,0.8689839572192514,0.5974264705882353,714,325,389,81900.0,8568.0,1428.0,71904.0
0.14999999999999997,0.45718432510885343,0.8422459893048129,0.5926622765757291,689,315,374,79380.0,8268.0,1378.0,69734.0
0.15999999999999998,0.46567164179104475,0.8342245989304813,0.5977011494252874,670,312,358,78624.0,8040.0,1340.0,69244.0
0.16999999999999998,0.4723926380368098,0.8235294117647058,0.6003898635477583,652,308,344,77616.0,7824.0,1304.0,68488.0
0.18,0.4765625,0.8155080213903744,0.6015779092702169,640,305,335,76860.0,7680.0,1280.0,67900.0
0.19,0.48177496038034867,0.8128342245989305,0.6049751243781094,631,304,327,76608.0,7572.0,1262.0,67774.0
0.19999999999999996,0.4901315789473684,0.7967914438502673,0.6069246435845214,608,298,310,75096.0,7296.0,1216.0,66584.0
0.20999999999999996,0.4966442953020134,0.7914438502673797,0.6103092783505155,596,296,300,74592.0,7152.0,1192.0,66248.0
0.21999999999999997,0.49829931972789115,0.7834224598930482,0.6091476091476091,588,293,295,73836.0,7056.0,1176.0,65604.0
0.22999999999999998,0.5095652173913043,0.7834224598930482,0.6174920969441517,575,293,282,73836.0,6900.0,1150.0,65786.0
0.24,0.5189873417721519,0.767379679144385,0.6192017259978425,553,287,266,72324.0,6636.0,1106.0,64582.0
0.24999999999999994,0.5223048327137546,0.7513368983957219,0.6162280701754386,538,281,257,70812.0,6456.0,1076.0,63280.0
0.25999999999999995,0.5315487571701721,0.7433155080213903,0.6198439241917503,523,278,245,70056.0,6276.0,1046.0,62734.0
0.26999999999999996,0.5411764705882353,0.7379679144385026,0.6244343891402715,510,276,234,69552.0,6120.0,1020.0,62412.0
0.27999999999999997,0.5430861723446894,0.7245989304812834,0.6208476517754868,499,271,228,68292.0,5988.0,998.0,61306.0
0.29,0.5482546201232033,0.713903743315508,0.6202090592334495,487,267,220,67284.0,5844.0,974.0,60466.0
0.3,0.5515789473684211,0.7005347593582888,0.6171967020023557,475,262,213,66024.0,5700.0,950.0,59374.0
0.30999999999999994,0.555793991416309,0.6925133689839572,0.6166666666666667,466,259,207,65268.0,5592.0,932.0,58744.0
0.31999999999999995,0.5645514223194749,0.6898395721925134,0.6209386281588448,457,258,199,65016.0,5484.0,914.0,58618.0
0.32999999999999996,0.5682326621923938,0.679144385026738,0.6187576126674786,447,254,193,64008.0,5364.0,894.0,57750.0
0.33999999999999997,0.571753986332574,0.6711229946524064,0.6174661746617466,439,251,188,63252.0,5268.0,878.0,57106.0
0.3499999999999999,0.57981220657277,0.660427807486631,0.6175,426,247,179,62244.0,5112.0,852.0,56280.0
0.35999999999999993,0.5903614457831325,0.6550802139037433,0.6210392902408112,415,245,170,61740.0,4980.0,830.0,55930.0
0.36999999999999994,0.5955334987593052,0.6417112299465241,0.6177606177606177,403,240,163,60480.0,4836.0,806.0,54838.0
0.37999999999999995,0.6035805626598465,0.6310160427807486,0.6169934640522876,391,236,155,59472.0,4692.0,782.0,53998.0
0.38999999999999996,0.6103896103896104,0.6283422459893048,0.619235836627141,385,235,150,59220.0,4620.0,770.0,53830.0
